type,area,floor,price,address,url
雅房,5坪,樓層：6/7,"7,500",信義區-吳興街, //rent.591.com.tw/rent-detail-8623334.html  
雅房,5坪,樓層：3/4,"10,000",大安區-忠孝東路四段17巷, //rent.591.com.tw/rent-detail-8649617.html  
車位,類型：平面式,10坪,"2,600",內湖區-康寧路一段, //rent.591.com.tw/rent-detail-8655260.html  
獨立套房,7坪,樓層：5/7,"17,500",士林區-天母北路9巷, //rent.591.com.tw/rent-detail-8655262.html  
獨立套房,8坪,樓層：2/7,"13,800",中山區-一江街, //rent.591.com.tw/rent-detail-8628905.html  
分租套房,10坪,樓層：3/5,"68,250",信義區-忠孝東路五段236巷, //rent.591.com.tw/rent-detail-8613160.html  
獨立套房,8坪,樓層：2/7,"28,000",中山區-中山北路二段65巷, //rent.591.com.tw/rent-detail-8659630.html  
獨立套房,8坪,樓層：4/6,"16,800",中山區-中山北路二段137巷1號, //rent.591.com.tw/rent-detail-8582138.html  
雅房,9坪,樓層：5/6,"15,000",文山區-新光路一段8號, //rent.591.com.tw/rent-detail-7641665.html  
雅房,6坪,樓層：2/6,"10,000",信義區-吳興街284巷43號, //rent.591.com.tw/rent-detail-8573892.html  
雅房,6坪,樓層：11/11,"8,700",萬華區-長沙街二段, //rent.591.com.tw/rent-detail-8642479.html  
雅房,4.2坪,樓層：6/7,"8,700",中山區-龍江路, //rent.591.com.tw/rent-detail-8642482.html  
雅房,10坪,樓層：4/11,"7,900",大安區-信義路三段, //rent.591.com.tw/rent-detail-8642409.html  
分租套房,6坪,樓層：5/6,"11,000",中正區-羅斯福路三段240巷7弄4號, //rent.591.com.tw/rent-detail-8671493.html  
分租套房,10坪,樓層：5/7,"16,500",松山區-八德路四段91巷, //rent.591.com.tw/rent-detail-8474961.html  
獨立套房,8坪,樓層：7/8,"16,500",士林區-文林路, //rent.591.com.tw/rent-detail-8659951.html  
車位,類型：平面式,10坪,"3,666",士林區-忠誠路二段207巷6號, //rent.591.com.tw/rent-detail-8603866.html  
分租套房,5坪,樓層：3/6,"16,500",大安區-安和路一段21巷, //rent.591.com.tw/rent-detail-8537152.html  
獨立套房,7.5坪,樓層：5/7,"18,500",松山區-民權東路三段160巷, //rent.591.com.tw/rent-detail-8473340.html  
獨立套房,9坪,樓層：3/11,"14,000",文山區-木新路二段43巷21號, //rent.591.com.tw/rent-detail-8644749.html  
分租套房,8坪,樓層：11/12,"17,800",南港區-八德路四段, //rent.591.com.tw/rent-detail-8596570.html  
分租套房,8坪,樓層：9/14,"18,800",信義區-松山路482巷38號, //rent.591.com.tw/rent-detail-8653277.html  
分租套房,9坪,樓層：6/7,"11,500",南港區-研究院路一段, //rent.591.com.tw/rent-detail-8653280.html  
獨立套房,8坪,樓層：8/8,"21,000",信義區-光復南路421巷, //rent.591.com.tw/rent-detail-8595992.html  
雅房,6坪,樓層：4/13,"9,000",信義區-光復南路525號, //rent.591.com.tw/rent-detail-8627013.html  
獨立套房,6坪,樓層：2/6,"2,500",中正區-臨沂街75巷, //rent.591.com.tw/rent-detail-8638832.html  
獨立套房,9.6坪,樓層：7/12,"19,000",中山區-新生北路二段68巷, //rent.591.com.tw/rent-detail-8606308.html  
分租套房,7坪,樓層：2/6,"10,800",大安區-八德路二段300巷, //rent.591.com.tw/rent-detail-8653669.html  
分租套房,9坪,樓層：8/13,"12,000",南港區-興華路30巷34號, //rent.591.com.tw/rent-detail-8556257.html  
獨立套房,10坪,樓層：9/11,"35,000",松山區-南京東路四段55號, //rent.591.com.tw/rent-detail-8642656.html  
獨立套房,10坪,樓層：9/11,"35,000",松山區-南京東路四段55號, //rent.591.com.tw/rent-detail-8642656.html  
獨立套房,7.5坪,樓層：3/14,"35,000",信義區-光復南路688號, //rent.591.com.tw/rent-detail-8664696.html  
雅房,8坪,樓層：7/7,"16,500",中正區-師大路, //rent.591.com.tw/rent-detail-8184369.html  
雅房,9.5坪,樓層：5/10,"7,000",中正區-林森北路5巷, //rent.591.com.tw/rent-detail-8629676.html  
分租套房,8坪,樓層：4/7,"13,500",信義區-忠孝東路五段236巷, //rent.591.com.tw/rent-detail-8570432.html  
雅房,5坪,樓層：7/7,"6,500",大安區-通安街, //rent.591.com.tw/rent-detail-8638387.html  
獨立套房,9坪,樓層：4/6,"16,000",中山區-長春路3巷, //rent.591.com.tw/rent-detail-8643873.html  
獨立套房,7坪,樓層：4/11,"9,000",萬華區-西寧南路11號, //rent.591.com.tw/rent-detail-8674614.html  
雅房,5坪,樓層：4/11,"12,000",大安區-臥龍街43巷, //rent.591.com.tw/rent-detail-8610596.html  
獨立套房,10坪,樓層：13/14,"16,500",中山區-建國北路二段190號, //rent.591.com.tw/rent-detail-8671882.html  
雅房,6坪,樓層：2/7,"8,000",中山區-北安路476巷, //rent.591.com.tw/rent-detail-8621723.html  
獨立套房,10坪,樓層：6/6,"18,000",中山區-林森北路85巷86號, //rent.591.com.tw/rent-detail-8626190.html  
雅房,5坪,樓層：5/10,"8,500",大同區-酒泉街10巷27號, //rent.591.com.tw/rent-detail-8544088.html  
獨立套房,8坪,樓層：1/6,"17,000",中山區-新生北路二段33巷7號, //rent.591.com.tw/rent-detail-8566517.html  
分租套房,5坪,樓層：整棟/5,"12,000",內湖區-南京東路六段330巷18弄1號, //rent.591.com.tw/rent-detail-8623185.html  
獨立套房,9.5坪,樓層：6/7,"16,000",北投區-西安街二段267號, //rent.591.com.tw/rent-detail-8654436.html  
獨立套房,7.2坪,樓層：9/9,"17,000",大安區-潮州街, //rent.591.com.tw/rent-detail-8665720.html  
獨立套房,8坪,樓層：8/8,"16,800",中山區-新生北路23號, //rent.591.com.tw/rent-detail-8666399.html  
雅房,6坪,樓層：2/7,"9,500",大安區-樂業街, //rent.591.com.tw/rent-detail-8643623.html  
整層住家,1房1廳1衛,10坪,"25,000",大安區-通安街, //rent.591.com.tw/rent-detail-8648937.html  
分租套房,8坪,樓層：3/7,"13,000",中山區-渭水路3巷, //rent.591.com.tw/rent-detail-8655113.html  
雅房,5坪,樓層：頂樓加蓋/5,"6,800",信義區-虎林街23號, //rent.591.com.tw/rent-detail-8596100.html  
分租套房,7坪,樓層：8/9,"12,500",信義區-忠孝東路五段, //rent.591.com.tw/rent-detail-8655084.html  
獨立套房,10坪,樓層：2/12,"15,500",松山區-南京東路五段, //rent.591.com.tw/rent-detail-8626110.html  
雅房,7坪,樓層：2/6,"10,000",信義區-吳興街284巷43號, //rent.591.com.tw/rent-detail-8613537.html  
獨立套房,10坪,樓層：14/14,"16,000",萬華區-桂林路77號, //rent.591.com.tw/rent-detail-8590326.html  
分租套房,7坪,樓層：3/12,"12,000",中山區-錦州街159號, //rent.591.com.tw/rent-detail-8601460.html  
分租套房,7坪,樓層：1/10,"6,800",文山區-萬寧街, //rent.591.com.tw/rent-detail-8586811.html  
獨立套房,7.4坪,樓層：6/12,"13,000",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8570483.html  
獨立套房,8坪,樓層：頂樓加蓋/7,"18,000",中山區-四平街, //rent.591.com.tw/rent-detail-8642877.html  
獨立套房,9坪,樓層：7/8,"13,000",中山區-長安東路一段, //rent.591.com.tw/rent-detail-8670058.html  
獨立套房,8坪,樓層：6/7,"13,000",文山區-辛亥路五段, //rent.591.com.tw/rent-detail-8638326.html  
獨立套房,9.5坪,樓層：6/7,"15,000",信義區-中坡南路201巷6號, //rent.591.com.tw/rent-detail-7913134.html  
獨立套房,7.5坪,樓層：9/15,"19,000",中山區-林森北路, //rent.591.com.tw/rent-detail-8669109.html  
獨立套房,6.5坪,樓層：2/14,"18,000",信義區-永吉路, //rent.591.com.tw/rent-detail-8575004.html  
獨立套房,7坪,樓層：4/5,"11,500",北投區-中央南路二段34巷, //rent.591.com.tw/rent-detail-8641075.html  
整層住家,1房1廳1衛,8.6坪,"24,998",大安區-通安街, //rent.591.com.tw/rent-detail-8683916.html  
獨立套房,6.8坪,樓層：4/6,"19,300",南港區-成福路, //rent.591.com.tw/rent-detail-8660894.html  
獨立套房,6.8坪,樓層：4/6,"19,300",南港區-成福路, //rent.591.com.tw/rent-detail-8597960.html  
獨立套房,6.8坪,樓層：4/6,"19,300",南港區-成福路, //rent.591.com.tw/rent-detail-8618838.html  
獨立套房,9坪,樓層：5/7,"18,000",大安區-信義路四段30巷, //rent.591.com.tw/rent-detail-8667413.html  
獨立套房,9.9坪,樓層：15/21,"22,000",內湖區-星雲街168巷, //rent.591.com.tw/rent-detail-8627118.html  
雅房,7坪,樓層：8/9,"8,000",內湖區-民權東路六段296巷, //rent.591.com.tw/rent-detail-8641305.html  
雅房,6坪,樓層：2/7,"11,000",信義區-忠孝東路五段372巷, //rent.591.com.tw/rent-detail-8583786.html  
獨立套房,10坪,樓層：5/13,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8387243.html  
整層住家,1房1廳1衛,9.9坪,"26,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8683722.html  
獨立套房,7.9坪,樓層：4/13,"21,999",中正區-南昌路二段, //rent.591.com.tw/rent-detail-8683625.html  
獨立套房,8.6坪,樓層：7/8,"25,000",大安區-通安街, //rent.591.com.tw/rent-detail-8683552.html  
整層住家,1房1廳1衛,8.3坪,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8660971.html  
獨立套房,8坪,樓層：5/7,"17,000",中山區-中山北路一段53巷, //rent.591.com.tw/rent-detail-8683510.html  
獨立套房,7坪,樓層：2/7,"14,000",中山區-中山北路一段53巷, //rent.591.com.tw/rent-detail-8683491.html  
整層住家,1房1廳1衛,8.3坪,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8683405.html  
整層住家,1房1廳1衛,10坪,"28,000",中山區-民生東路一段, //rent.591.com.tw/rent-detail-8671544.html  
整層住家,1房1廳1衛,9.9坪,"27,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8683382.html  
雅房,10坪,樓層：6/7,"9,000",大安區-忠孝東路四段181巷40弄7號, //rent.591.com.tw/rent-detail-8683290.html  
獨立套房,9.6坪,樓層：3/9,"19,999",松山區-市民大道五段, //rent.591.com.tw/rent-detail-8683270.html  
獨立套房,10坪,樓層：1/10,"15,888",北投區-新民路51號, //rent.591.com.tw/rent-detail-8582180.html  
獨立套房,10坪,樓層：9/9,"11,000",士林區-延平北路五段, //rent.591.com.tw/rent-detail-8653438.html  
獨立套房,10坪,樓層：3/13,"13,500",文山區-景興路282巷9號, //rent.591.com.tw/rent-detail-8683190.html  
獨立套房,9.5坪,樓層：7/7,"19,000",大安區-仁愛路四段112巷, //rent.591.com.tw/rent-detail-8637416.html  
雅房,10坪,樓層：頂樓加蓋/5,"12,999",中山區-龍江路65巷, //rent.591.com.tw/rent-detail-8676375.html  
分租套房,7坪,樓層：5/7,"13,500",中山區-吉林路, //rent.591.com.tw/rent-detail-8683089.html  
分租套房,8坪,樓層：3/9,"12,500",中山區-撫順街, //rent.591.com.tw/rent-detail-8588440.html  
獨立套房,9.6坪,樓層：2/13,"22,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8683023.html  
獨立套房,6坪,樓層：7/7,"13,000",內湖區-內湖路一段407號, //rent.591.com.tw/rent-detail-8683000.html  
整層住家,1房1廳1衛,9.2坪,"23,500",大安區-信義路二段161巷, //rent.591.com.tw/rent-detail-8657701.html  
整層住家,1房1廳1衛,9.2坪,"23,500",大安區-信義路二段161巷, //rent.591.com.tw/rent-detail-8639432.html  
獨立套房,6坪,樓層：8/8,"18,000",中正區-廈門街135巷, //rent.591.com.tw/rent-detail-8627142.html  
分租套房,8.5坪,樓層：12/13,"16,500",中正區-水源路, //rent.591.com.tw/rent-detail-8605423.html  
獨立套房,7坪,樓層：2/12,"18,000",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8664967.html  
獨立套房,10坪,樓層：4/4,"17,000",大安區-泰順街40巷, //rent.591.com.tw/rent-detail-8664671.html  
獨立套房,7.6坪,樓層：10/11,"23,000",中山區-松江路77巷, //rent.591.com.tw/rent-detail-8649062.html  
獨立套房,6.8坪,樓層：6/6,"15,888",松山區-八德路四段72巷, //rent.591.com.tw/rent-detail-8660858.html  
整層住家,1房1廳1衛,8坪,"28,800",中山區-農安街8號, //rent.591.com.tw/rent-detail-8682723.html  
分租套房,7坪,樓層：9/10,"12,000",中山區-建國北路一段58號, //rent.591.com.tw/rent-detail-8627410.html  
獨立套房,9.1坪,樓層：12/12,"16,499",中山區-新生北路二段60巷, //rent.591.com.tw/rent-detail-8676774.html  
整層住家,1房1廳1衛,9坪,"19,999",中山區-錦州街, //rent.591.com.tw/rent-detail-8682116.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8665040.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8654365.html  
獨立套房,9坪,樓層：10/10,"21,200",文山區-羅斯福路四段, //rent.591.com.tw/rent-detail-8678971.html  
分租套房,8坪,樓層：2/7,"14,500",南港區-研究院路二段70巷, //rent.591.com.tw/rent-detail-8643364.html  
獨立套房,9.9坪,樓層：5/13,"27,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8664423.html  
獨立套房,9.3坪,樓層：3/7,"20,000",中山區-民生東路一段70巷, //rent.591.com.tw/rent-detail-8634080.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8654417.html  
獨立套房,5坪,樓層：6/8,"12,000",大同區-長安西路, //rent.591.com.tw/rent-detail-8682347.html  
分租套房,3坪,樓層：6/10,"8,500",文山區-萬壽路62號, //rent.591.com.tw/rent-detail-8682309.html  
獨立套房,9坪,樓層：7/14,"17,000",大安區-忠孝東路三段, //rent.591.com.tw/rent-detail-8646785.html  
分租套房,7坪,樓層：頂樓加蓋/7,"11,000",中山區-渭水路, //rent.591.com.tw/rent-detail-8526103.html  
獨立套房,9坪,樓層：4/5,"12,800",內湖區-新明路219巷, //rent.591.com.tw/rent-detail-8604959.html  
獨立套房,9坪,樓層：3/7,"16,800",內湖區-港墘路, //rent.591.com.tw/rent-detail-8659778.html  
分租套房,10坪,樓層：2/7,"19,800",大安區-通化街, //rent.591.com.tw/rent-detail-8668741.html  
整層住家,1房1廳1衛,9.2坪,"23,500",大安區-信義路二段161巷, //rent.591.com.tw/rent-detail-8657015.html  
分租套房,6坪,樓層：2/14,"16,000",信義區-永吉路, //rent.591.com.tw/rent-detail-8575064.html  
分租套房,8坪,樓層：2/9,"8,500",萬華區-貴陽街二段, //rent.591.com.tw/rent-detail-8215026.html  
車位,類型：機械式,4坪,"3,700",文山區-羅斯福路四段202號, //rent.591.com.tw/rent-detail-8670060.html  
分租套房,9坪,樓層：5/7,"13,500",中山區-松江路194巷, //rent.591.com.tw/rent-detail-8658643.html  
分租套房,10坪,樓層：7/7,"15,000",大安區-忠孝東路四段216巷, //rent.591.com.tw/rent-detail-8654960.html  
獨立套房,9.5坪,樓層：4/7,"20,000",中山區-雙城街43巷7號, //rent.591.com.tw/rent-detail-8635022.html  
獨立套房,8.5坪,樓層：10/12,"17,000",中山區-新生北路二段76號, //rent.591.com.tw/rent-detail-8677454.html  
整層住家,1房1廳1衛,9.2坪,"23,500",大安區-信義路二段161巷, //rent.591.com.tw/rent-detail-8642026.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8654379.html  
獨立套房,8.6坪,樓層：3/7,"38,000",松山區-敦化北路155巷, //rent.591.com.tw/rent-detail-8608984.html  
獨立套房,8坪,樓層：2/12,"16,000",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8676513.html  
分租套房,6坪,樓層：6/12,"7,500",松山區-光復南路, //rent.591.com.tw/rent-detail-8667909.html  
整層住家,1房1廳1衛,7.8坪,"26,000",中正區-寧波西街, //rent.591.com.tw/rent-detail-8650067.html  
獨立套房,6.4坪,樓層：7/12,"12,000",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8681781.html  
獨立套房,10坪,樓層：2/6,"22,000",中山區-新生北路二段41巷, //rent.591.com.tw/rent-detail-8627187.html  
獨立套房,8坪,樓層：頂樓加蓋/7,"21,000",信義區-光復南路421巷, //rent.591.com.tw/rent-detail-8569235.html  
獨立套房,9坪,樓層：3/14,"18,800",士林區-後港街, //rent.591.com.tw/rent-detail-8602703.html  
獨立套房,8坪,樓層：2/8,"20,000",中山區-新生北路二段72巷, //rent.591.com.tw/rent-detail-8602712.html  
獨立套房,9.9坪,樓層：6/11,"28,000",信義區-忠孝東路五段, //rent.591.com.tw/rent-detail-8681744.html  
獨立套房,10坪,樓層：2/7,"24,000",大安區-濟南路三段, //rent.591.com.tw/rent-detail-8610657.html  
獨立套房,10坪,樓層：6/10,"22,000",中山區-四平街, //rent.591.com.tw/rent-detail-8639708.html  
獨立套房,6.5坪,樓層：4/11,"19,000",南港區-園區街, //rent.591.com.tw/rent-detail-8674822.html  
整層住家,1房1廳1衛,8.3坪,"26,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8678852.html  
獨立套房,10坪,樓層：12/12,"21,500",中山區-民權東路一段, //rent.591.com.tw/rent-detail-8649535.html  
獨立套房,10坪,樓層：2/14,"18,500",內湖區-南京東路六段451巷, //rent.591.com.tw/rent-detail-8667614.html  
獨立套房,8.3坪,樓層：4/13,"26,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8678813.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8659892.html  
分租套房,10坪,樓層：6/13,"16,000",松山區-南京東路五段1號, //rent.591.com.tw/rent-detail-8619403.html  
整層住家,1房1廳1衛,9.2坪,"23,500",中正區-信義路二段161巷, //rent.591.com.tw/rent-detail-8618307.html  
整層住家,1房1廳1衛,8.3坪,"27,998",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8655611.html  
獨立套房,9.9坪,樓層：5/13,"26,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8679410.html  
獨立套房,9.9坪,樓層：6/11,"27,999",信義區-忠孝東路五段, //rent.591.com.tw/rent-detail-8681444.html  
獨立套房,10坪,樓層：12/15,"23,000",中正區-羅斯福路二段, //rent.591.com.tw/rent-detail-8678314.html  
整層住家,1房1廳1衛,9.9坪,"26,998",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8664597.html  
獨立套房,8坪,樓層：2/12,"15,000",松山區-南京東路五段, //rent.591.com.tw/rent-detail-8664925.html  
整層住家,1房1廳1衛,8.3坪,"27,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8668995.html  
獨立套房,10坪,樓層：2/7,"22,800",大安區-忠孝東路四段, //rent.591.com.tw/rent-detail-8640962.html  
獨立套房,8坪,樓層：2/8,"17,500",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8584660.html  
獨立套房,9.9坪,樓層：10/14,"29,998",松山區-八德路二段, //rent.591.com.tw/rent-detail-8622533.html  
獨立套房,8.5坪,樓層：3/10,"19,999",中山區-中山北路一段, //rent.591.com.tw/rent-detail-8591606.html  
獨立套房,9.5坪,樓層：4/13,"18,000",大安區-信義路四段, //rent.591.com.tw/rent-detail-8577063.html  
雅房,5坪,樓層：3/10,"6,500",內湖區-康寧路三段, //rent.591.com.tw/rent-detail-8621775.html  
雅房,6坪,樓層：10/10,"12,000",信義區-永吉路, //rent.591.com.tw/rent-detail-8644902.html  
獨立套房,6.9坪,樓層：10/15,"17,500",中山區-雙城街3巷, //rent.591.com.tw/rent-detail-8661960.html  
獨立套房,8.7坪,樓層：19/26,"26,500",萬華區-康定路, //rent.591.com.tw/rent-detail-8679195.html  
獨立套房,10坪,樓層：5/14,"18,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8666587.html  
整層住家,1房1廳1衛,8.3坪,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8654265.html  
獨立套房,8.3坪,樓層：4/13,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8661159.html  
獨立套房,8.4坪,樓層：5/15,"20,000",中山區-林森北路, //rent.591.com.tw/rent-detail-8598376.html  
獨立套房,10坪,樓層：5/12,"18,000",大安區-復興南路一段, //rent.591.com.tw/rent-detail-8653452.html  
獨立套房,10坪,樓層：5/12,"18,000",大安區-復興南路一段135巷, //rent.591.com.tw/rent-detail-8644982.html  
獨立套房,9坪,樓層：5/12,"6,900",北投區-中山路47號, //rent.591.com.tw/rent-detail-8660733.html  
獨立套房,10坪,樓層：6/9,"13,000",中山區-新生北路三段, //rent.591.com.tw/rent-detail-8633721.html  
獨立套房,8坪,樓層：1/7,"15,000",大同區-塔城街, //rent.591.com.tw/rent-detail-8568334.html  
獨立套房,10坪,樓層：5/12,"19,000",中山區-民權東路一段, //rent.591.com.tw/rent-detail-8670797.html  
分租套房,6坪,樓層：7/7,"13,500",信義區-忠孝東路五段372巷, //rent.591.com.tw/rent-detail-8681137.html  
分租套房,7坪,樓層：5/7,"16,000",內湖區-內湖路一段, //rent.591.com.tw/rent-detail-8659578.html  
