type,area,floor,price,address,url
分租套房,5坪,樓層：5/6,"14,500",中山區-吉林路, //rent.591.com.tw/rent-detail-8675950.html  
雅房,3坪,樓層：5/10,"7,000",內湖區-文德路, //rent.591.com.tw/rent-detail-8660754.html  
獨立套房,8坪,樓層：4/8,"16,500",中山區-林森北路107巷, //rent.591.com.tw/rent-detail-8634714.html  
獨立套房,8坪,樓層：5/12,"16,000",中山區-林森北路, //rent.591.com.tw/rent-detail-8660846.html  
分租套房,8坪,樓層：7/7,"14,499",中山區-中山北路二段39巷, //rent.591.com.tw/rent-detail-8651534.html  
分租套房,6坪,樓層：5/11,"15,000",大同區-承德路三段, //rent.591.com.tw/rent-detail-8638185.html  
分租套房,5坪,樓層：4/12,"12,000",中山區-民生東路一段, //rent.591.com.tw/rent-detail-8638146.html  
獨立套房,9.7坪,樓層：4/10,"15,000",中山區-長安東路二段, //rent.591.com.tw/rent-detail-8624647.html  
獨立套房,9.7坪,樓層：4/10,"15,000",中山區-長安東路二段, //rent.591.com.tw/rent-detail-8637222.html  
分租套房,10坪,樓層：11/12,"17,000",中山區-長安東路二段, //rent.591.com.tw/rent-detail-8619937.html  
獨立套房,8坪,樓層：頂樓加蓋/7,"16,488",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8666823.html  
獨立套房,6.2坪,樓層：4/12,"11,988",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8649655.html  
整層住家,1房1廳1衛,10坪,"21,988",大安區-復興南路107巷, //rent.591.com.tw/rent-detail-8658987.html  
獨立套房,8坪,樓層：4/6,"13,499",中正區-林森北路5巷, //rent.591.com.tw/rent-detail-8653495.html  
獨立套房,9.3坪,樓層：5/6,"18,000",中山區-雙城街46巷, //rent.591.com.tw/rent-detail-8569163.html  
獨立套房,9.9坪,樓層：2/6,"23,499",中山區-林森北路138巷, //rent.591.com.tw/rent-detail-8594976.html  
整層住家,1房1廳1衛,10坪,"14,988",大同區-哈密街23巷, //rent.591.com.tw/rent-detail-8628726.html  
雅房,7坪,樓層：4/5,"9,988",大同區-延平北路四段294巷, //rent.591.com.tw/rent-detail-8561779.html  
獨立套房,9.9坪,樓層：5/13,"26,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8670979.html  
獨立套房,8坪,樓層：6/15,"23,000",中正區-重慶南路三段, //rent.591.com.tw/rent-detail-8658390.html  
分租套房,7坪,樓層：5/7,"13,500",中山區-吉林路, //rent.591.com.tw/rent-detail-8677759.html  
整層住家,2房1廳1衛,10坪,"22,500",中山區-錦西街, //rent.591.com.tw/rent-detail-8662141.html  
獨立套房,8坪,樓層：11/12,"19,800",南港區-八德路四段, //rent.591.com.tw/rent-detail-8674456.html  
獨立套房,8.3坪,樓層：4/13,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8671193.html  
分租套房,6坪,樓層：3/7,"13,000",大安區-和平東路二段265巷13號, //rent.591.com.tw/rent-detail-8680860.html  
獨立套房,8坪,樓層：3/20,"9,500",南港區-興中路56巷, //rent.591.com.tw/rent-detail-8580266.html  
分租套房,9坪,樓層：5/12,"18,000",大同區-承德路83號, //rent.591.com.tw/rent-detail-8680834.html  
獨立套房,10坪,樓層：11/13,"27,000",信義區-基隆路一段131號, //rent.591.com.tw/rent-detail-8573152.html  
獨立套房,5坪,樓層：6/10,"8,500",文山區-萬壽路62號, //rent.591.com.tw/rent-detail-8561857.html  
獨立套房,10坪,樓層：2/7,"21,799",中山區-農安街, //rent.591.com.tw/rent-detail-8568560.html  
獨立套房,8坪,樓層：頂樓加蓋/7,"16,488",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8675255.html  
整層住家,1房1廳1衛,10坪,"15,988",大同區-哈密街23巷, //rent.591.com.tw/rent-detail-8631349.html  
獨立套房,8坪,樓層：4/6,"13,999",中正區-林森北路5巷, //rent.591.com.tw/rent-detail-8602351.html  
雅房,7坪,樓層：4/5,"9,999",大同區-延平北路四段294巷, //rent.591.com.tw/rent-detail-8562853.html  
獨立套房,5坪,樓層：4/12,"11,999",中山區-新生北路二段, //rent.591.com.tw/rent-detail-8656448.html  
整層住家,1房1廳1衛,10坪,"21,999",大安區-復興南路一段107巷, //rent.591.com.tw/rent-detail-8658717.html  
獨立套房,10坪,樓層：3/6,"17,000",中山區-長春路3巷, //rent.591.com.tw/rent-detail-8641240.html  
獨立套房,7坪,樓層：3/6,"14,000",中山區-長春路3巷15號, //rent.591.com.tw/rent-detail-8641241.html  
獨立套房,8坪,樓層：14/16,"19,999",大安區-復興南路一段79巷, //rent.591.com.tw/rent-detail-8678191.html  
整層住家,1房0廳2衛,10坪,"15,000",北投區-奇岩路, //rent.591.com.tw/rent-detail-8627534.html  
獨立套房,7坪,樓層：B1/6,"8,000",中山區-林森北路119巷, //rent.591.com.tw/rent-detail-8676998.html  
雅房,3坪,樓層：4/7,"5,000",中正區-汀州路三段, //rent.591.com.tw/rent-detail-8607444.html  
獨立套房,10坪,樓層：7/7,"16,000",文山區-指南路二段45巷, //rent.591.com.tw/rent-detail-8617165.html  
雅房,7坪,樓層：3/6,"6,500",北投區-杏林一路, //rent.591.com.tw/rent-detail-8654533.html  
分租套房,7.8坪,樓層：7/7,"16,600",中正區-羅斯福路四段24巷, //rent.591.com.tw/rent-detail-8642244.html  
獨立套房,10坪,樓層：4/12,"24,800",中山區-長春路, //rent.591.com.tw/rent-detail-8612221.html  
分租套房,6坪,樓層：4/7,"7,000",中山區-吉林路, //rent.591.com.tw/rent-detail-8564313.html  
車位,類型：平面式,3坪,"3,999",大安區-敦化南路一段187巷, //rent.591.com.tw/rent-detail-8680365.html  
獨立套房,10坪,樓層：4/7,"15,500",大安區-和平東路三段228巷, //rent.591.com.tw/rent-detail-8668895.html  
分租套房,7坪,樓層：3/7,"12,000",文山區-興隆路二段96巷2號, //rent.591.com.tw/rent-detail-8644390.html  
整層住家,1房1廳1衛,10坪,"19,800",中山區-農安街, //rent.591.com.tw/rent-detail-8680172.html  
其他,1房1廳1衛,8.3坪,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8680152.html  
分租套房,4坪,樓層：7/12,"9,500",松山區-基隆路一段, //rent.591.com.tw/rent-detail-8581035.html  
獨立套房,8.8坪,樓層：21/26,"26,000",萬華區-康定路, //rent.591.com.tw/rent-detail-8647703.html  
獨立套房,6坪,樓層：3/7,"17,000",松山區-光復南路22巷, //rent.591.com.tw/rent-detail-8679239.html  
雅房,6坪,樓層：10/14,"11,000",大安區-復興南路二段78巷, //rent.591.com.tw/rent-detail-8679101.html  
獨立套房,6.3坪,樓層：20/20,"14,000",松山區-民生東路五段, //rent.591.com.tw/rent-detail-8678926.html  
獨立套房,9.9坪,樓層：6/11,"28,000",信義區-忠孝東路五段, //rent.591.com.tw/rent-detail-8678862.html  
獨立套房,1房1廳1衛,9坪,"19,000",文山區-興德路20巷, //rent.591.com.tw/rent-detail-8587452.html  
整層住家,1房1廳1衛,8.3坪,"28,000",信義區-基隆路二段, //rent.591.com.tw/rent-detail-8674605.html  
獨立套房,8坪,樓層：5/12,"17,000",大安區-基隆路二段, //rent.591.com.tw/rent-detail-8677875.html  
獨立套房,6坪,樓層：3/7,"20,000",中山區-林森北路119巷, //rent.591.com.tw/rent-detail-8674367.html  
獨立套房,8坪,樓層：3/7,"16,800",中山區-雙城街19巷, //rent.591.com.tw/rent-detail-8672262.html  
獨立套房,8坪,樓層：2/9,"21,000",中山區-農安街, //rent.591.com.tw/rent-detail-8635481.html  
獨立套房,10坪,樓層：13/19,"30,000",松山區-南京東路五段, //rent.591.com.tw/rent-detail-8516775.html  
獨立套房,9.5坪,樓層：6/26,"20,000",萬華區-康定路, //rent.591.com.tw/rent-detail-8670076.html  
獨立套房,8坪,樓層：4/6,"13,500",松山區-光復北路120巷, //rent.591.com.tw/rent-detail-8600871.html  
獨立套房,7坪,樓層：3/12,"14,500",中山區-松江路8號, //rent.591.com.tw/rent-detail-8625637.html  
獨立套房,6.9坪,樓層：3/10,"22,000",松山區-興安街, //rent.591.com.tw/rent-detail-8644617.html  
獨立套房,7.5坪,樓層：6/10,"26,000",松山區-興安街, //rent.591.com.tw/rent-detail-8644582.html  
分租套房,9坪,樓層：1/6,"9,500",信義區-吳興街220巷, //rent.591.com.tw/rent-detail-8666202.html  
獨立套房,7坪,樓層：3/11,"19,800",萬華區-西寧南路, //rent.591.com.tw/rent-detail-8642706.html  
獨立套房,6坪,樓層：3/11,"19,800",萬華區-西寧南路, //rent.591.com.tw/rent-detail-8642695.html  
獨立套房,7坪,樓層：5/12,"12,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8615704.html  
獨立套房,6坪,樓層：5/5,"12,500",中正區-汀洲路三段, //rent.591.com.tw/rent-detail-8604713.html  
獨立套房,8坪,樓層：11/13,"43,880",中山區-松江路, //rent.591.com.tw/rent-detail-8668076.html  
獨立套房,6坪,樓層：5/6,"15,000",中山區-吉林路, //rent.591.com.tw/rent-detail-8589792.html  
獨立套房,6坪,樓層：7/7,"16,600",中正區-羅斯福路四段24巷, //rent.591.com.tw/rent-detail-8589274.html  
獨立套房,10坪,樓層：4/10,"15,000",中山區-長安東路二段, //rent.591.com.tw/rent-detail-8585319.html  
獨立套房,8坪,樓層：3/11,"16,800",大同區-延平北路一段, //rent.591.com.tw/rent-detail-8629950.html  
獨立套房,6坪,樓層：6/12,"13,800",萬華區-西寧南路, //rent.591.com.tw/rent-detail-8673311.html  
獨立套房,8坪,樓層：2/8,"20,000",中山區-新生北路二段72巷, //rent.591.com.tw/rent-detail-8564959.html  
獨立套房,8.5坪,樓層：5/14,"50,000",中正區-信義路二段, //rent.591.com.tw/rent-detail-8670280.html  
分租套房,6坪,樓層：B1/6,"12,500",松山區-塔悠路, //rent.591.com.tw/rent-detail-8648420.html  
雅房,4.5坪,樓層：7/12,"5,800",萬華區-青年路, //rent.591.com.tw/rent-detail-8609265.html  
雅房,4坪,樓層：2/6,"7,500",中正區-晉江街, //rent.591.com.tw/rent-detail-8655752.html  
分租套房,7坪,樓層：2/7,"10,000",士林區-中山北路七段, //rent.591.com.tw/rent-detail-8675331.html  
分租套房,8坪,樓層：2/7,"11,000",士林區-中山北路七段, //rent.591.com.tw/rent-detail-8675136.html  
獨立套房,8.3坪,樓層：2/8,"28,000",士林區-福林路251巷, //rent.591.com.tw/rent-detail-8620020.html  
獨立套房,8坪,樓層：2/8,"19,999",中山區-新生北路二段70巷, //rent.591.com.tw/rent-detail-8607773.html  
獨立套房,9坪,樓層：4/7,"9,500",北投區-溫泉路71號, //rent.591.com.tw/rent-detail-8607898.html  
獨立套房,7.9坪,樓層：6/9,"15,000",中山區-農安街, //rent.591.com.tw/rent-detail-8672981.html  
獨立套房,8.3坪,樓層：4/13,"27,999",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8666865.html  
分租套房,5坪,樓層：6/7,"8,500",大同區-保安街, //rent.591.com.tw/rent-detail-8506735.html  
分租套房,5坪,樓層：6/7,"9,500",大同區-保安街, //rent.591.com.tw/rent-detail-8578528.html  
獨立套房,9坪,樓層：6/7,"18,800",內湖區-內湖路一段91巷, //rent.591.com.tw/rent-detail-8634560.html  
獨立套房,10坪,樓層：2/7,"11,999",中山區-中山北路二段137巷, //rent.591.com.tw/rent-detail-8666304.html  
整層住家,1房1廳1衛,10坪,"21,988",大安區-復興南路一段107巷, //rent.591.com.tw/rent-detail-8658132.html  
分租套房,10坪,樓層：3/7,"13,000",中山區-吉林路, //rent.591.com.tw/rent-detail-8670620.html  
獨立套房,8坪,樓層：6/6,"9,000",中山區-錦州街, //rent.591.com.tw/rent-detail-8617706.html  
獨立套房,8坪,樓層：6/7,"15,500",大安區-和平東路二段96巷, //rent.591.com.tw/rent-detail-8592661.html  
獨立套房,10坪,樓層：5/12,"14,000",中山區-林森北路409號, //rent.591.com.tw/rent-detail-8663005.html  
分租套房,7坪,樓層：4/7,"12,800",內湖區-文德路, //rent.591.com.tw/rent-detail-7241140.html  
獨立套房,10坪,樓層：4/7,"27,000",信義區-忠孝東路五段71巷12弄8號, //rent.591.com.tw/rent-detail-8668779.html  
分租套房,9坪,樓層：6/7,"10,000",大同區-保安街, //rent.591.com.tw/rent-detail-8668769.html  
獨立套房,9.9坪,樓層：5/13,"28,800",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8656841.html  
整層住家,1房1廳1衛,10坪,"21,988",大安區-復興南路一段107巷, //rent.591.com.tw/rent-detail-8661891.html  
獨立套房,10坪,樓層：3/3,"13,999",中山區-林森北路133巷, //rent.591.com.tw/rent-detail-8665230.html  
獨立套房,8坪,樓層：9/10,"18,000",文山區-木柵路四段33巷, //rent.591.com.tw/rent-detail-8667106.html  
分租套房,4坪,樓層：頂樓加蓋/10,"10,800",中山區-德惠街, //rent.591.com.tw/rent-detail-8654221.html  
雅房,5坪,樓層：5/6,"9,900",大安區-忠孝東路三段251巷, //rent.591.com.tw/rent-detail-8666401.html  
獨立套房,8.3坪,樓層：4/13,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8661330.html  
雅房,6坪,樓層：3/7,"16,000",大安區-忠孝東路四段101巷, //rent.591.com.tw/rent-detail-8662004.html  
分租套房,8坪,樓層：7/7,"8,500",士林區-中山北路七段190巷, //rent.591.com.tw/rent-detail-8664277.html  
雅房,4坪,樓層：3/7,"6,500",大安區-信義路三段134巷43號, //rent.591.com.tw/rent-detail-8664244.html  
獨立套房,8.2坪,樓層：6/7,"28,000",大安區-瑞安街208巷, //rent.591.com.tw/rent-detail-8623771.html  
其他,1房1廳1衛,9.9坪,"29,800",中山區-明水路, //rent.591.com.tw/rent-detail-8663619.html  
分租套房,5坪,樓層：7/7,"9,000",大安區-和平東路三段, //rent.591.com.tw/rent-detail-8663560.html  
分租套房,4.5坪,樓層：5/7,"6,500",文山區-忠順街二段, //rent.591.com.tw/rent-detail-8663555.html  
獨立套房,6.9坪,樓層：10/11,"23,000",中山區-德惠街34號, //rent.591.com.tw/rent-detail-8663327.html  
分租套房,8坪,樓層：4/7,"9,300",中正區-重慶南路三段12號, //rent.591.com.tw/rent-detail-8623326.html  
獨立套房,1房1廳1衛,6坪,"9,500",中山區-民生西路30號, //rent.591.com.tw/rent-detail-8659415.html  
獨立套房,8坪,樓層：6/15,"23,000",中正區-重慶南路三段, //rent.591.com.tw/rent-detail-8659337.html  
車位,類型：平面式,4坪,"1,500",南港區-興南街152號, //rent.591.com.tw/rent-detail-8581976.html  
車位,類型：平面式,4坪,"2,000",內湖區-堤頂大道二段407巷20弄35號, //rent.591.com.tw/rent-detail-8581979.html  
雅房,7坪,樓層：7/11,"13,000",中正區-杭州南路一段23號, //rent.591.com.tw/rent-detail-8590029.html  
分租套房,7坪,樓層：7/11,"13,000",中正區-杭州南路一段23號, //rent.591.com.tw/rent-detail-8590044.html  
獨立套房,10坪,樓層：5/12,"16,000",中山區-林森北路409號, //rent.591.com.tw/rent-detail-8657281.html  
整層住家,1房1廳1衛,8.3坪,"28,000",信義區-基隆路一段, //rent.591.com.tw/rent-detail-8654478.html  
雅房,4坪,樓層：5/8,"7,500",中山區-樂群二路162巷, //rent.591.com.tw/rent-detail-8656599.html  
獨立套房,8坪,樓層：11/11,"13,000",中山區-錦州街32號, //rent.591.com.tw/rent-detail-8651491.html  
獨立套房,10坪,樓層：10/19,"20,000",北投區-中央南路二段, //rent.591.com.tw/rent-detail-8648828.html  
獨立套房,7.7坪,樓層：11/15,"23,500",中正區-羅斯福路四段, //rent.591.com.tw/rent-detail-8648857.html  
分租套房,7坪,樓層：3/8,"12,500",大安區-臨江街87號, //rent.591.com.tw/rent-detail-8517855.html  
雅房,5坪,樓層：6/14,"6,800",文山區-木柵路一段3號, //rent.591.com.tw/rent-detail-8646895.html  
雅房,5坪,樓層：11/16,"9,000",信義區-松山路204巷, //rent.591.com.tw/rent-detail-8644736.html  
分租套房,7坪,樓層：1/7,"12,500",大安區-延吉街, //rent.591.com.tw/rent-detail-8641679.html  
獨立套房,10坪,樓層：2/7,"23,000",大安區-忠孝東路四段170巷, //rent.591.com.tw/rent-detail-8640472.html  
分租套房,9坪,樓層：12/12,"11,500",信義區-基隆路二段151號, //rent.591.com.tw/rent-detail-8614631.html  
獨立套房,6坪,樓層：1/5,"9,000",士林區-通河東街二段10巷6號, //rent.591.com.tw/rent-detail-8581797.html  
分租套房,5坪,樓層：2/7,"9,200",大安區-和平東路三段228巷, //rent.591.com.tw/rent-detail-8636650.html  
雅房,10坪,樓層：7/7,"11,000",中山區-北安路572號, //rent.591.com.tw/rent-detail-8636527.html  
分租套房,7坪,樓層：5/6,"15,000",中山區-吉林路, //rent.591.com.tw/rent-detail-8597882.html  
獨立套房,9.3坪,樓層：3/7,"17,000",中山區-民生東路一段70巷, //rent.591.com.tw/rent-detail-8626642.html  
獨立套房,9.8坪,樓層：12/18,"35,000",中山區-南京東路二段108號, //rent.591.com.tw/rent-detail-8634377.html  
雅房,7坪,樓層：3/7,"13,000",大安區-羅斯福路二段101巷, //rent.591.com.tw/rent-detail-8507412.html  
分租套房,8坪,樓層：頂樓加蓋/7,"10,500",中山區-民權東路二段135巷20弄3號, //rent.591.com.tw/rent-detail-8629644.html  
獨立套房,10坪,樓層：5/8,"17,000",北投區-振興街1號, //rent.591.com.tw/rent-detail-8629476.html  
獨立套房,5坪,樓層：7/7,"16,000",松山區-延吉街48巷, //rent.591.com.tw/rent-detail-8563032.html  
獨立套房,5坪,樓層：7/7,"16,000",松山區-延吉街48巷, //rent.591.com.tw/rent-detail-8566440.html  
分租套房,10坪,樓層：3/7,"25,000",大安區-市民大道四段, //rent.591.com.tw/rent-detail-8624921.html  
獨立套房,10坪,樓層：7/12,"22,000",文山區-羅斯福路六段407號, //rent.591.com.tw/rent-detail-8614743.html  
獨立套房,7坪,樓層：5/12,"12,000",大同區-歸綏街181號, //rent.591.com.tw/rent-detail-8618914.html  
獨立套房,10坪,樓層：頂樓加蓋/12,"16,800",萬華區-環河南路一段23號, //rent.591.com.tw/rent-detail-8621042.html  
獨立套房,9.7坪,樓層：5/14,"26,000",松山區-南京東路五段, //rent.591.com.tw/rent-detail-8620995.html  
整層住家,1房1廳1衛,10坪,"22,000",中山區-四平街, //rent.591.com.tw/rent-detail-8619925.html  
分租套房,7坪,樓層：4/16,"14,000",大安區-復興南路一段, //rent.591.com.tw/rent-detail-8619290.html  
分租套房,10坪,樓層：12/14,"22,000",大安區-忠孝東路四段, //rent.591.com.tw/rent-detail-8619238.html  
雅房,7坪,樓層：4/7,"5,998",大安區-通化街57巷, //rent.591.com.tw/rent-detail-8612261.html  
獨立套房,6坪,樓層：5/6,"10,000",中山區-林森北路, //rent.591.com.tw/rent-detail-8607483.html  
整層住家,1房1廳1衛,10坪,"15,999",大同區-哈密街23巷, //rent.591.com.tw/rent-detail-8605622.html  
分租套房,6坪,樓層：10/12,"22,500",大安區-忠孝東路四段, //rent.591.com.tw/rent-detail-8604955.html  
雅房,4坪,樓層：3/10,"7,000",中正區-汀州路二段, //rent.591.com.tw/rent-detail-8419555.html  
獨立套房,6坪,樓層：2/11,"11,000",萬華區-西昌街142號, //rent.591.com.tw/rent-detail-8603576.html  
雅房,6坪,樓層：15/15,"13,000",萬華區-成都路, //rent.591.com.tw/rent-detail-8602835.html  
分租套房,7坪,樓層：8/8,"10,000",北投區-義理街19號, //rent.591.com.tw/rent-detail-8595127.html  
分租套房,9坪,樓層：4/9,"4,500",萬華區-漢中街35號, //rent.591.com.tw/rent-detail-8599111.html  
分租套房,9坪,樓層：11/12,"19,000",中山區-建國南路一段, //rent.591.com.tw/rent-detail-8574872.html  
分租套房,4坪,樓層：12/12,"1,001",大同區-承德路一段, //rent.591.com.tw/rent-detail-8591654.html  
獨立套房,9坪,樓層：4/7,"13,000",大安區-安東街19號, //rent.591.com.tw/rent-detail-3665663.html  
獨立套房,10坪,樓層：2/12,"20,000",中山區-新生北路23號, //rent.591.com.tw/rent-detail-8586630.html  
雅房,6坪,樓層：2/7,"6,000",北投區-石牌路一段, //rent.591.com.tw/rent-detail-5076358.html  
分租套房,6坪,樓層：12/12,"14,000",中山區-民生東路一段, //rent.591.com.tw/rent-detail-8452505.html  
分租套房,5坪,樓層：3/8,"10,800",士林區-承德路四段272號, //rent.591.com.tw/rent-detail-8576452.html  
雅房,5坪,樓層：6/7,"9,000",松山區-北寧路, //rent.591.com.tw/rent-detail-8574299.html  
雅房,5坪,樓層：2/6,"9,000",中山區-中山北路二段72巷, //rent.591.com.tw/rent-detail-8574277.html  
雅房,5坪,樓層：8/12,"8,000",萬華區-漢中街, //rent.591.com.tw/rent-detail-8574235.html  
分租套房,5坪,樓層：5/12,"7,000",內湖區-內湖路一段691巷8號, //rent.591.com.tw/rent-detail-8234985.html  
獨立套房,5坪,樓層：6/8,"12,000",大同區-長安西路251號, //rent.591.com.tw/rent-detail-8556100.html  
雅房,5坪,樓層：7/13,"9,000",松山區-光復北路230巷57號, //rent.591.com.tw/rent-detail-8514239.html  
分租套房,開放式格局,8坪,"17,000",大同區-承德路三段83號, //rent.591.com.tw/rent-detail-7855256.html  
